ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1705116	0.0145	0.00000131	-6.320.428	52.429.951	-13.296.937	557129030	SLC22A23	solute carrier family 22 member 23
ILMN_1759232	0.017	0.00000307	5.980.424	44.924.064	10.105.291	187761322	IRS1	insulin receptor substrate 1
ILMN_1742410	0.0173	0.00000469	-5.813.036	4.117.567	-22.310.421	961658090	BCL2L1	BCL2 like 1
ILMN_1720241	0.0289	0.0000144	-5.372.773	31.172.566	-0.7293672	545746401	TRIP12	thyroid hormone receptor interactor 12
ILMN_2202940	0.0289	0.00001589	-5.334.414	30.292.426	-10.815.985	50726995	CHPT1	choline phosphotransferase 1
ILMN_2323427	0.0289	0.00001673	-531.447	29.834.352	-18.621.777	260436832	EPB41	erythrocyte membrane protein band 4.1
ILMN_2125010	0.0289	0.00001962	-5.252.353	28.405.642	-0.889113	744066861	SKAP2	src kinase associated phosphoprotein 2
ILMN_1785141	0.0289	0.00002309	-5.189.159	26.949.263	-17.738.658	544063399	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
ILMN_2273447	0.0289	0.00002775	-51.178	25.301.413	-24.793.486	342837748	NPRL3	NPR3 like, GATOR1 complex subunit
ILMN_1745806	0.0289	0.00002842	5.108.418	25.084.523	0.5475494	22538479	PEMT	phosphatidylethanolamine N-methyltransferase
ILMN_1701911	0.0289	0.00002904	5.100.175	24.893.918	10.318.826	116734715	DCANP1	dendritic cell associated nuclear protein
ILMN_1677038	0.0289	0.00003483	5.029.693	23.262.524	11.764.319	157671944	CPED1	cadherin like and PC-esterase domain containing 1
ILMN_1753950	0.0289	0.00003861	4.989.761	22.337.033	15.310.181	994317766	ZNF326	zinc finger protein 326
ILMN_1802257	0.0289	0.00004152	-4.961.606	21.684.024	-0.8284338	308736989	PCTP	phosphatidylcholine transfer protein
ILMN_1662865	0.0289	0.00004175	-4.959.543	21.636.165	-0.7989825	153251269	CPPED1	calcineurin like phosphoesterase domain containing 1
ILMN_2358457	0.0289	0.00004184	-4.958.664	21.615.782	-0.8665091	563317857	ATF4	activating transcription factor 4
ILMN_2117623	0.0296	0.0000475	-490.963	20.477.595	-25.411.272	317008579	PLXNC1	plexin C1
ILMN_2401057	0.0296	0.00005009	4.889.048	19.999.519	0.5951535	66933004	CANX	calnexin
ILMN_1696556	0.0296	0.00005087	4.883.092	19.861.153	0.6733594	930588880	URB2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
ILMN_2186678	0.0299	0.00005795	-483.269	18.689.697	-17.692.905	557440835	ARMT1	acidic residue methyltransferase 1
ILMN_1815238	0.0299	0.00006065	-4.815.081	18.280.211	-16.609.757	NA		
ILMN_1705364	0.0299	0.0000641	-4.793.744	17.783.896	-0.7930389	149158694	BAG6	BCL2 associated athanogene 6
ILMN_2370535	0.0299	0.00006476	-4.789.782	17.691.724	-10.785.996	523525264	GAS2L1	growth arrest specific 2 like 1
ILMN_2411915	0.0299	0.00006623	-4.781.127	17.490.383	-15.535.442	47132612	ATG4B	autophagy related 4B cysteine peptidase
ILMN_1716062	0.0299	0.00007079	-4.755.398	16.891.665	-1.623.968	50845427	MYL4	myosin light chain 4
ILMN_1780769	0.0299	0.00007585	-4.728.684	16.269.862	-0.8392578	68051719	TUBB4B	tubulin beta 4B class IVb
ILMN_1708991	0.0299	0.00007645	-4.725.687	16.200.096	-0.9652111	544583484	CCNY	cyclin Y
ILMN_1734602	0.0299	0.00008216	4.697.855	15.552.078	0.6718426	118572612	SRRM2	serine/arginine repetitive matrix 2
ILMN_1784299	0.0299	0.00008446	-4.687.173	15.303.343	-10.869.353	34147352	C19orf43	chromosome 19 open reading frame 43
ILMN_1757742	0.0299	0.00008482	-4.685.544	1.526.542	-0.947357	110815808	ZRANB1	zinc finger RANBP2-type containing 1
ILMN_2408663	0.0299	0.00008703	-4.675.622	15.034.342	-14.020.972	301129228	RHCE	Rh blood group CcEe antigens
ILMN_1672940	0.0299	0.00009343	4.648.174	14.395.077	0.901122	194097463	ZNF562	zinc finger protein 562
ILMN_1807767	0.0299	0.00009643	4.635.981	14.111.064	0.5451277	499137503	GSE1	Gse1 coiled-coil protein
ILMN_1812433	0.0299	0.00009835	-4.628.373	13.933.834	-20.453.277	970259872	HP	haptoglobin
ILMN_1758545	0.0299	0.00009976	-4.622.878	13.805.851	-22.077.082	194306641	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12
ILMN_1772809	0.0299	0.00010099	-461.814	13.695.459	-2.198.886	170014726	SLC4A1	solute carrier family 4 member 1 (Diego blood group)
ILMN_1698427	0.0299	0.00011045	-4.583.555	12.889.773	-13.822.265	115527087	TMUB2	transmembrane and ubiquitin like domain containing 2
ILMN_1688865	0.0299	0.00011208	-4.577.908	1.275.823	-11.019.524	586946406	PPP1R9B	protein phosphatase 1 regulatory subunit 9B
ILMN_1789436	0.0299	0.0001132	4.574.043	12.668.188	0.8974911	NA		
ILMN_1799128	0.0299	0.00011357	4.572.813	12.639.535	0.741803	57164947	SLC30A9	solute carrier family 30 member 9
ILMN_2399036	0.0299	0.00011396	4.571.465	12.608.129	12.043.681	47578098	SEPN1	selenoprotein N, 1
ILMN_1794333	0.0299	0.0001166	4.562.621	12.402.091	0.8840338	311771664	POU2F1	POU class 2 homeobox 1
ILMN_1730432	0.0299	0.00012101	4.548.284	12.068.071	17.777.519	998074856	IGSF8	immunoglobulin superfamily member 8
ILMN_1786328	0.0299	0.00012596	-453.281	1.170.758	-0.9837214	254553397	DCAF12	DDB1 and CUL4 associated factor 12
ILMN_1743232	0.0299	0.00012813	-4.526.189	11.553.337	-17.307.592	118918412	MICALCL	MICAL C-terminal like
ILMN_2092850	0.0299	0.00012961	-4.521.754	11.450.013	-0.785231	315360641	HPSE	heparanase
ILMN_2352036	0.0299	0.00013277	-4.512.449	11.233.248	-0.5198588	47519458	RTN4	reticulon 4
ILMN_1735712	0.0299	0.00013485	-4.506.446	11.093.407	-18.785.606	119395749	KRT1	keratin 1
ILMN_2404063	0.0299	0.00013496	-450.615	11.086.507	-14.055.908	228008405	APP	amyloid beta precursor protein
ILMN_2165473	0.0299	0.00013767	-4.498.466	10.907.527	-0.4918132	544186084	MID1IP1	MID1 interacting protein 1
ILMN_1673138	0.0299	0.00013769	44.984	1.090.599	0.5438287	41152068	ZBTB33	zinc finger and BTB domain containing 33
ILMN_1796642	0.0305	0.00014488	-4.478.734	10.447.882	-0.6298613	189083740	NCF2	neutrophil cytosolic factor 2
ILMN_2339655	0.0305	0.000146	4.475.754	10.378.472	10.821.133	209529732	MAPK7	mitogen-activated protein kinase 7
ILMN_1776552	0.0308	0.0001503	4.464.535	10.117.173	0.9232751	742670571	FUBP1	far upstream element binding protein 1
ILMN_1776000	0.031	0.00015425	4.454.509	0.9883662	13.042.527	339409213	EID3	EP300 interacting inhibitor of differentiation 3
ILMN_1786972	0.031	0.00016235	-443.472	0.9422811	-0.5201217	300795157	SARS	seryl-tRNA synthetase
ILMN_1785785	0.031	0.00016332	-4.432.426	0.9369404	-0.6267544	59938783	NCOA1	nuclear receptor coactivator 1
ILMN_2102721	0.031	0.00016787	-4.421.792	0.9121787	-28.311.547	124248515	DEFA1B	defensin alpha 1B
ILMN_1806056	0.031	0.00017012	-4.416.642	0.9001871	-21.928.452	209862756	CEACAM8	carcinoembryonic antigen related cell adhesion molecule 8
ILMN_2311166	0.031	0.00017046	-4.415.882	0.8984185	-0.9384502	735997408	ITGB5	integrin subunit beta 5
ILMN_1735360	0.031	0.00017069	4.415.363	0.8972093	0.7466012	572880304	SDAD1	SDA1 domain containing 1
ILMN_1753165	0.0311	0.00017425	-4.407.388	0.8786426	-22.937.505	296939601	WNK1	WNK lysine deficient protein kinase 1
ILMN_1703079	0.0313	0.00018281	4.388.833	0.8354477	0.8158547	312222766	NFS1	NFS1 cysteine desulfurase
ILMN_1729142	0.0313	0.00018395	-4.386.421	0.8298336	-0.7846037	56118233	CENPV	centromere protein V
